Date,P4TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2020-06-19,9267.0,9975.0,17841.0,9343.0,1956.0,9517.0,12645.0,,
2020-06-22,9504.0,10685.0,18073.0,9565.0,2004.0,9539.0,12565.0,,
2020-06-23,9661.0,11205.0,18289.0,9714.0,2050.0,9733.0,12445.0,,
2020-06-24,9866.0,11900.0,18457.0,9814.0,2043.0,9917.0,12410.0,,
2020-06-25,9937.0,12165.0,18714.0,9875.0,2043.0,9950.0,12290.0,,
2020-06-26,9970.0,12375.0,18891.0,9886.0,2048.0,9809.0,12155.0,,
2020-06-29,9971.0,12550.0,19152.0,9802.0,2041.0,9650.0,12000.0,,
2020-06-30,9979.0,12610.0,19291.0,9698.0,2034.0,9494.0,12018.0,,
2020-07-01,9962.0,12735.0,19370.0,9542.0,2011.0,9283.0,11969.0,,
2020-07-02,9981.0,12940.0,19550.0,9408.0,1988.0,9122.0,11920.0,,
2020-07-03,10504.0,13510.0,20068.0,9648.0,2025.0,9100.0,12803.0,,
2020-07-06,11051.0,14065.0,20914.0,9988.0,2324.0,9250.0,13500.0,,
2020-07-07,11777.0,15200.0,22073.0,10649.0,3159.0,10250.0,13760.0,,
2020-07-08,12315.0,16160.0,23000.0,11381.0,3445.0,11444.0,13738.0,,
2020-07-09,12675.0,16710.0,23932.0,11860.0,3774.0,12000.0,13658.0,,
2020-07-10,12950.0,17150.0,24844.0,12065.0,3916.0,,13688.0,,
2020-07-13,13040.0,17290.0,25250.0,12106.0,3939.0,12011.0,13694.0,,
2020-07-14,13039.0,17270.0,25359.0,12123.0,3988.0,11950.0,13640.0,,
2020-07-15,12875.0,17045.0,25209.0,12015.0,3978.0,11828.0,13423.0,,
2020-07-16,12562.0,16455.0,24950.0,11801.0,3893.0,11578.0,13165.0,,
2020-07-17,12196.0,15675.0,24505.0,11608.0,3816.0,11333.0,12930.0,,
2020-07-20,11852.0,14955.0,24000.0,11472.0,3742.0,11178.0,12690.0,,
2020-07-21,11400.0,14025.0,23280.0,11305.0,3676.0,11083.0,12360.0,,
2020-07-22,10676.0,12380.0,22170.0,11167.0,3636.0,10933.0,11815.0,,
2020-07-23,10027.0,10975.0,21155.0,10940.0,3588.0,10663.0,11365.0,,
2020-07-24,9450.0,9920.0,20150.0,10730.0,3503.0,10364.0,10860.0,,
2020-07-27,9113.0,9340.0,19477.0,10587.0,3438.0,10233.0,10585.0,,
2020-07-28,8884.0,8860.0,18905.0,10415.0,3368.0,10211.0,10580.0,,
2020-07-29,9155.0,8880.0,18795.0,10696.0,3398.0,10394.0,11260.0,,
2020-07-30,9495.0,9445.0,18982.0,10928.0,3462.0,10606.0,11645.0,,
